0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:25 +0200] "GET /api/components/show?component=GPI HTTP/1.1" 404 - "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAg"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:28 +0200] "GET /api/components/show?component=G HTTP/1.1" 404 - "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAh"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:29 +0200] "GET /api/components/show?component=fi HTTP/1.1" 404 - "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAi"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:29 +0200] "GET /api/components/show?component=final HTTP/1.1" 404 - "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAj"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "POST /api/projects/create HTTP/1.1" 200 - "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAk"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/components/show?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAm"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/navigation/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAl"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/project_pull_requests/list?project=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAo"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/project_branches/list?project=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAn"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/alm_settings/get_binding?project=final HTTP/1.1" 404 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAp"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/ce/analysis_status?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAr"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/ce/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAq"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /api/settings/values?keys=sonar.core.serverBaseURL HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAs"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /images/tutorials/github-actions.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAu"
